                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1995,                 2.5407,                  1.326,                0.59814,                0.54125,                0.57943,                0.37819,                 1.2109,                 1.6391,                  1.318,             0.00022171,             0.00022171,             0.00022171
                      2,                 1.1943,                 1.7833,                 1.3089,                0.60499,                0.53073,                0.55131,                0.33877,                 1.2569,                 1.6225,                 1.3678,             0.00043964,             0.00043964,             0.00043964
                      3,                 1.1958,                 1.6057,                 1.3038,                0.64604,                0.55119,                0.60394,                0.38047,                  1.292,                 1.5643,                 1.4014,             0.00065318,             0.00065318,             0.00065318
                      4,                 1.1971,                 1.4848,                 1.3052,                0.80733,                0.59695,                0.71559,                0.47761,                 1.2099,                 1.2343,                 1.3267,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.1682,                 1.3542,                 1.2816,                0.78481,                0.64614,                 0.7333,                0.48804,                 1.1713,                 1.1728,                  1.281,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.1408,                 1.2698,                 1.2716,                0.82528,                0.62649,                0.73426,                0.50059,                 1.1845,                 1.1483,                 1.3149,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1339,                 1.2236,                 1.2609,                0.84406,                 0.6289,                0.76079,                0.51421,                 1.1416,                 1.0812,                 1.2727,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1124,                 1.1611,                 1.2456,                0.80691,                0.68856,                0.77859,                0.53817,                 1.1279,                0.99225,                  1.253,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1008,                 1.1201,                 1.2387,                0.83087,                0.68991,                0.79523,                0.53651,                 1.1415,                0.98817,                 1.2583,             0.00061417,             0.00061417,             0.00061417
                     10,                   1.09,                 1.0934,                 1.2337,                0.79995,                0.69736,                 0.7869,                0.53827,                 1.1403,                0.96966,                  1.262,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0819,                 1.0615,                 1.2294,                0.80972,                0.68516,                0.78463,                 0.5397,                 1.1199,                0.97574,                 1.2575,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0819,                 1.0429,                 1.2278,                 0.8412,                0.68819,                0.79824,                0.55736,                 1.1034,                0.92176,                 1.2411,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0601,                 1.0211,                 1.2114,                0.85207,                0.71445,                0.81416,                 0.5658,                   1.09,                0.88149,                 1.2207,             0.00058776,             0.00058776,             0.00058776
                     14,                  1.061,                 1.0005,                 1.2085,                0.85243,                0.70268,                0.80739,                0.56883,                 1.0998,                0.89236,                 1.2249,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0437,                 0.9654,                 1.2013,                0.82061,                0.73428,                0.82372,                0.57115,                 1.0933,                0.86729,                 1.2237,             0.00057455,             0.00057455,             0.00057455
